24/10/2023;Bringup add ;v.2.003;Update
23/10/2023;Fix servo movement range;v.2.001;Fix
23/10/2023;facerobot function speak EN and IT on a single form and save button;v.2.001;Update
07/03/2023;Social versione 2.0;Init project;Start
